bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1300220,2088828,text,103194,application/pdf,Introduced,https://legiscan.com/RI/text/H7031/id/2088828,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7031.pdf
1300364,2088952,text,16185,application/pdf,Introduced,https://legiscan.com/RI/text/H7032/id/2088952,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7032.pdf
1317418,2107316,text,10535,application/pdf,Introduced,https://legiscan.com/RI/text/H7185/id/2107316,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7185.pdf
1318764,2108837,text,157633,application/pdf,Introduced,https://legiscan.com/RI/text/H7260/id/2108837,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7260.pdf
1324756,2116113,text,18350,application/pdf,Introduced,https://legiscan.com/RI/text/H7356/id/2116113,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7356.pdf
1324791,2116141,text,131326,application/pdf,Introduced,https://legiscan.com/RI/text/H7377/id/2116141,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7377.pdf
1325981,2117861,text,127274,application/pdf,Introduced,https://legiscan.com/RI/text/H7409/id/2117861,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7409.pdf
1333923,2127363,text,9700,application/pdf,Introduced,https://legiscan.com/RI/text/H7494/id/2127363,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7494.pdf
1333941,2127381,text,12631,application/pdf,Introduced,https://legiscan.com/RI/text/H7498/id/2127381,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7498.pdf
1338482,2134641,text,34477,application/pdf,Introduced,https://legiscan.com/RI/text/H7575/id/2134641,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7575.pdf
1340741,2137499,text,10474,application/pdf,Introduced,https://legiscan.com/RI/text/H7630/id/2137499,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7630.pdf
1350616,2152009,text,9513,application/pdf,Introduced,https://legiscan.com/RI/text/H7675/id/2152009,http://webserver.rilin.state.ri.us/BillText20/HouseText20/H7675.pdf
